STATE, NC
STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
997307,99999, 20080724,   77.5,24, 9999.9, 0, 1015.9,24, 9999.9, 0, 999.9, 0,  13.1,24,  27.0, 999.9,   82.0*,  72.0*, 0.00I,999.9, 000000,
997307,99999, 20080725,   77.1,24, 9999.9, 0, 1019.5,24, 9999.9, 0, 999.9, 0,   7.4,24,  16.9, 999.9,   80.1*,  71.8*, 0.00I,999.9, 000000,
997307,99999, 20080726,   76.6,24, 9999.9, 0, 1018.2,24, 9999.9, 0, 999.9, 0,   4.1,24,   7.0, 999.9,   81.1*,  71.6*, 0.00I,999.9, 000000,
997307,99999, 20080727,   80.4,24, 9999.9, 0, 1013.4,24, 9999.9, 0, 999.9, 0,  11.9,24,  19.0, 999.9,   82.6*,  76.6*, 0.00I,999.9, 000000,
997307,99999, 20080728,   79.6,24, 9999.9, 0, 1011.6,24, 9999.9, 0, 999.9, 0,   9.9,24,  19.0, 999.9,   81.5*,  73.9*, 0.00I,999.9, 000000,
997307,99999, 20080729,   79.8,24, 9999.9, 0, 1014.2,24, 9999.9, 0, 999.9, 0,   7.0,24,  19.0, 999.9,   84.7*,  75.6*, 0.00I,999.9, 000000,
997307,99999, 20080730,   82.1,24, 9999.9, 0, 1011.9,24, 9999.9, 0, 999.9, 0,  15.2,24,  19.0, 999.9,   85.1*,  79.7*, 0.00I,999.9, 000000,
997307,99999, 20080731,   82.6,24, 9999.9, 0, 1007.8,24, 9999.9, 0, 999.9, 0,  11.8,24,  19.0, 999.9,   86.7*,  79.3*, 0.00I,999.9, 000000,
997307,99999, 20080801,   80.0,24, 9999.9, 0, 1007.9,24, 9999.9, 0, 999.9, 0,   7.8,24,  16.9, 999.9,   84.7*,  76.8*, 0.00I,999.9, 000000,
997307,99999, 20080802,   82.6,24, 9999.9, 0, 1009.0,24, 9999.9, 0, 999.9, 0,  11.2,24,  20.0, 999.9,   86.9*,  77.9*, 0.00I,999.9, 000000,
997307,99999, 20080803,   78.4,24, 9999.9, 0, 1010.3,24, 9999.9, 0, 999.9, 0,   8.7,23,  25.1, 999.9,   81.3*,  73.4*, 0.00I,999.9, 000000,
997307,99999, 20080804,   79.6,24, 9999.9, 0, 1015.8,24, 9999.9, 0, 999.9, 0,   3.9,24,   8.0, 999.9,   84.6*,  74.7*, 0.00I,999.9, 000000,
997307,99999, 20080805,   82.5,21, 9999.9, 0, 1015.1,21, 9999.9, 0, 999.9, 0,   8.2,21,  12.0, 999.9,   84.0*,  80.4*, 0.00I,999.9, 000000,
997307,99999, 20080806,   84.0,24, 9999.9, 0, 1012.3,24, 9999.9, 0, 999.9, 0,   6.9,24,  14.0, 999.9,   89.6*,  80.4*, 0.00I,999.9, 000000,
