STATE, OH
STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
720713,99999, 20100309,   42.3,24,   36.3,24, 9999.9, 0, 9999.9, 0,   7.5,24,   4.3,24,   8.9, 999.9,   57.2*,  32.0*,99.99 ,999.9, 010000,
720713,99999, 20100310,   52.0,24,   45.9,24, 9999.9, 0, 9999.9, 0,   9.3,24,   6.7,24,  13.0,  15.9,   64.4*,  44.6*,99.99 ,999.9, 110000,
720713,99999, 20100311,   52.4,24,   48.1,24, 9999.9, 0, 9999.9, 0,   9.3,24,   7.6,24,  18.1,  22.0,   60.8*,  44.6*,99.99 ,999.9, 010000,
720713,99999, 20100312,   52.9,24,   50.8,24, 9999.9, 0, 9999.9, 0,   5.9,24,   6.8,24,  11.1, 999.9,   60.8*,  46.4*,99.99 ,999.9, 110000,
720713,99999, 20100313,   48.9,24,   47.8,24, 9999.9, 0, 9999.9, 0,   6.4,24,   5.3,24,  14.0,  18.1,   57.2*,  42.8*,99.99 ,999.9, 010010,
720713,99999, 20100314,   38.7,24,   37.7,24, 9999.9, 0, 9999.9, 0,   7.2,24,  10.1,24,  16.9,  22.0,   42.8*,  33.8*,99.99 ,999.9, 010000,
720713,99999, 20100315,   40.0,24,   38.1,24, 9999.9, 0, 9999.9, 0,   7.9,24,   9.1,24,  14.0,  19.0,   44.6*,  37.4*, 0.00I,999.9, 000000,
720713,99999, 20100316,   44.4,24,   37.9,24, 9999.9, 0, 9999.9, 0,   9.0,24,   4.4,24,   8.9,  25.1,   57.2*,  33.8*, 0.00I,999.9, 000000,
720713,99999, 20100317,   45.6,24,   27.1,24, 9999.9, 0, 9999.9, 0,  10.0,24,   3.1,24,   7.0, 999.9,   60.8*,  32.0*, 0.00I,999.9, 000000,
720713,99999, 20100318,   46.5,24,   31.7,24, 9999.9, 0, 9999.9, 0,  10.0,24,   4.7,24,  13.0,  19.0,   62.6*,  32.0*, 0.00I,999.9, 000000,
720713,99999, 20100319,   50.8,24,   36.5,24, 9999.9, 0, 9999.9, 0,  10.0,24,   8.0,24,  15.0,  22.0,   64.4*,  39.2*, 0.00I,999.9, 000000,
720713,99999, 20100320,   52.4,24,   38.2,24, 9999.9, 0, 9999.9, 0,  10.0,24,   4.7,24,  13.0,  19.0,   64.4*,  37.4*, 0.00I,999.9, 000000,
720713,99999, 20100321,   43.2,24,   35.8,24, 9999.9, 0, 9999.9, 0,  10.0,24,   9.9,24,  15.9,  21.0,   53.6*,  33.8*, 0.00I,999.9, 000000,
720713,99999, 20100322,   39.8,24,   37.0,24, 9999.9, 0, 9999.9, 0,   6.6,24,  11.4,24,  18.1,  27.0,   44.6*,  35.6*,99.99 ,999.9, 010000,
720713,99999, 20100323,   40.8,24,   37.1,24, 9999.9, 0, 9999.9, 0,   7.4,24,   9.5,24,  14.0,  18.1,   55.4*,  35.6*, 0.00I,999.9, 000000,
720713,99999, 20100324,   45.6,24,   33.0,24, 9999.9, 0, 9999.9, 0,   9.9,24,   2.3,24,   6.0, 999.9,   60.8*,  32.0*, 0.00I,999.9, 000000,
720713,99999, 20100325,   48.2,24,   41.1,24, 9999.9, 0, 9999.9, 0,   9.4,24,   7.6,24,  20.0,  27.0,   53.6*,  37.4*,99.99 ,999.9, 010000,
720713,99999, 20100326,   30.4,24,   24.4,24, 9999.9, 0, 9999.9, 0,   8.7,24,  12.9,24,  21.0,  28.9,   37.4*,  24.8*,99.99 ,999.9, 011000,
720713,99999, 20100327,   36.0,24,   26.1,24, 9999.9, 0, 9999.9, 0,  10.0,24,   6.6,24,  13.0,  16.9,   53.6*,  26.6*, 0.00I,999.9, 000000,
720713,99999, 20100328,   47.4,24,   40.5,24, 9999.9, 0, 9999.9, 0,   9.4,24,   7.9,24,  15.0,  21.0,   51.8*,  42.8*,99.99 ,999.9, 010000,
720713,99999, 20100329,   42.6,24,   40.2,24, 9999.9, 0, 9999.9, 0,   7.0,24,  11.3,24,  15.9,  22.0,   48.2*,  39.2*,99.99 ,999.9, 010000,
720713,99999, 20100330,   39.8,24,   34.1,24, 9999.9, 0, 9999.9, 0,   5.8,24,   1.0,24,   7.0, 999.9,   55.4*,  28.4*, 0.00I,999.9, 100000,
720713,99999, 20100331,   51.6,24,   38.0,24, 9999.9, 0, 9999.9, 0,   9.9,24,   6.0,24,  15.9,  21.0,   71.6*,  37.4*, 0.00I,999.9, 000000,
720713,99999, 20100401,   62.6,24,   45.6,24, 9999.9, 0, 9999.9, 0,  10.0,24,   9.5,24,  18.1,  26.0,   78.8*,  50.0*, 0.00I,999.9, 000000,
720713,99999, 20100402,   67.3,24,   45.0,24, 9999.9, 0, 9999.9, 0,  10.0,24,   7.4,24,  16.9,  22.9,   80.6*,  55.4*, 0.00I,999.9, 000000,
720713,99999, 20100403,   62.2,24,   43.6,24, 9999.9, 0, 9999.9, 0,   9.9,24,  11.4,24,  26.0,  36.9,   73.4*,  51.8*,99.99 ,999.9, 010000,
720713,99999, 20100404,   54.6,24,   42.1,24, 9999.9, 0, 9999.9, 0,   8.3,24,   6.1,24,  15.0,  20.0,   71.6*,  39.2*, 0.00I,999.9, 100000,
720713,99999, 20100405,   66.6,24,   48.6,24, 9999.9, 0, 9999.9, 0,  10.0,24,   8.9,24,  16.9,  22.9,   77.0*,  59.0*,99.99 ,999.9, 010010,
720713,99999, 20100406,   69.2,24,   54.4,24, 9999.9, 0, 9999.9, 0,   9.8,24,  12.7,24,  25.1,  34.0,   82.4*,  60.8*,99.99 ,999.9, 010000,
720713,99999, 20100407,   69.6,24,   49.7,24, 9999.9, 0, 9999.9, 0,  10.0,24,  12.6,24,  19.0,  27.0,   75.2*,  64.4*,99.99 ,999.9, 010010,
720713,99999, 20100408,   52.4,24,   47.3,24, 9999.9, 0, 9999.9, 0,   8.7,24,  10.4,24,  19.0,  32.1,   68.0*,  42.8*,99.99 ,999.9, 010010,
720713,99999, 20100409,   41.8,24,   31.7,24, 9999.9, 0, 9999.9, 0,  10.0,24,  10.4,24,  19.0,  26.0,   51.8*,  35.6*, 0.00I,999.9, 000000,
720713,99999, 20100410,   47.2,24,   32.7,24, 9999.9, 0, 9999.9, 0,  10.0,24,   5.6,24,  15.9,  22.0,   68.0*,  32.0*, 0.00I,999.9, 000000,
720713,99999, 20100411,   59.0,24,   37.5,24, 9999.9, 0, 9999.9, 0,  10.0,24,   3.4,24,   8.0, 999.9,   73.4*,  44.6*, 0.00I,999.9, 000000,
720713,99999, 20100412,   56.8,24,   35.8,24, 9999.9, 0, 9999.9, 0,  10.0,24,   4.7,24,  12.0,  16.9,   68.0*,  44.6*, 0.00I,999.9, 000000,
720713,99999, 20100413,   56.7,24,   35.2,24, 9999.9, 0, 9999.9, 0,  10.0,24,   5.9,24,  11.1,  15.0,   69.8*,  46.4*, 0.00I,999.9, 000000,
720713,99999, 20100414,   57.3,24,   41.9,24, 9999.9, 0, 9999.9, 0,  10.0,24,   6.3,24,  12.0,  14.0,   75.2*,  44.6*, 0.00I,999.9, 000000,
720713,99999, 20100415,   66.7,24,   45.2,24, 9999.9, 0, 9999.9, 0,  10.0,24,   7.2,24,  15.9,  22.0,   82.4*,  51.8*, 0.00I,999.9, 000000,
720713,99999, 20100416,   66.4,24,   50.1,24, 9999.9, 0, 9999.9, 0,  10.0,24,  11.4,24,  20.0,  34.0,   75.2*,  59.0*, 0.00I,999.9, 000000,
720713,99999, 20100417,   47.8,24,   32.4,24, 9999.9, 0, 9999.9, 0,   9.9,24,  10.5,24,  20.0,  27.0,   59.0*,  35.6*, 0.00I,999.9, 000000,
720713,99999, 20100418,   43.6,24,   27.9,24, 9999.9, 0, 9999.9, 0,  10.0,24,   5.5,24,  12.0,  20.0,   59.0*,  30.2*, 0.00I,999.9, 000000,
720713,99999, 20100419,   47.9,24,   33.8,24, 9999.9, 0, 9999.9, 0,   9.8,24,   3.2,24,   8.9,  15.0,   60.8*,  33.8*, 0.00I,999.9, 000000,
720713,99999, 20100420,   51.6,24,   31.4,24, 9999.9, 0, 9999.9, 0,  10.0,24,   3.2,24,   8.0, 999.9,   64.4*,  39.2*, 0.00I,999.9, 000000,
720713,99999, 20100421,   53.8,24,   31.2,24, 9999.9, 0, 9999.9, 0,  10.0,24,   4.5,24,  13.0,  16.9,   69.8*,  37.4*, 0.00I,999.9, 000000,
720713,99999, 20100422,   54.3,24,   37.8,24, 9999.9, 0, 9999.9, 0,  10.0,24,   2.3,24,   8.9, 999.9,   68.0*,  39.2*, 0.00I,999.9, 000000,
720713,99999, 20100423,   57.5,24,   43.5,24, 9999.9, 0, 9999.9, 0,  10.0,24,   2.8,24,   8.9,  18.1,   69.8*,  44.6*,99.99 ,999.9, 010000,
720713,99999, 20100424,   58.6,24,   54.8,24, 9999.9, 0, 9999.9, 0,   8.7,24,   8.4,24,  14.0,  22.0,   66.2*,  55.4*,99.99 ,999.9, 010000,
720713,99999, 20100425,   59.8,24,   56.2,24, 9999.9, 0, 9999.9, 0,   9.5,24,   9.5,24,  18.1,  23.9,   64.4*,  55.4*,99.99 ,999.9, 010000,
720713,99999, 20100426,   52.1,24,   49.3,24, 9999.9, 0, 9999.9, 0,   5.7,24,  10.8,24,  18.1,  26.0,   59.0*,  46.4*,99.99 ,999.9, 010000,
720713,99999, 20100427,   47.6,24,   37.3,24, 9999.9, 0, 9999.9, 0,  10.0,24,   8.7,24,  16.9,  21.0,   57.2*,  41.0*, 0.00I,999.9, 000000,
720713,99999, 20100428,   45.6,24,   32.0,24, 9999.9, 0, 9999.9, 0,  10.0,24,   2.8,24,   9.9,  15.0,   60.8*,  32.0*, 0.00I,999.9, 000000,
720713,99999, 20100429,   52.8,24,   36.7,24, 9999.9, 0, 9999.9, 0,   9.8,24,   5.2,24,  19.0,  26.0,   71.6*,  35.6*, 0.00I,999.9, 000000,
720713,99999, 20100430,   67.3,24,   49.0,24, 9999.9, 0, 9999.9, 0,  10.0,24,  11.3,24,  22.9,  32.1,   80.6*,  55.4*, 0.00I,999.9, 000000,
720713,99999, 20100501,   67.9,24,   57.4,24, 9999.9, 0, 9999.9, 0,  10.0,24,   9.4,24,  20.0,  35.0,   77.0*,  60.8*,99.99 ,999.9, 010010,
720713,99999, 20100502,   65.8,24,   62.7,24, 9999.9, 0, 9999.9, 0,   9.7,24,   8.1,24,  20.0,  25.1,   69.8*,  60.8*,99.99 ,999.9, 010010,
720713,99999, 20100503,   66.0,24,   57.1,24, 9999.9, 0, 9999.9, 0,   8.3,24,   8.4,24,  14.0,  21.0,   73.4*,  55.4*,99.99 ,999.9, 010000,
720713,99999, 20100504,   61.9,24,   49.7,24, 9999.9, 0, 9999.9, 0,   9.6,24,   7.8,24,  26.0,  42.9,   73.4*,  53.6*,99.99 ,999.9, 010000,
720713,99999, 20100505,   67.1,24,   49.0,24, 9999.9, 0, 9999.9, 0,   9.8,24,   9.8,24,  25.1,  34.0,   82.4*,  51.8*, 0.00I,999.9, 000000,
720713,99999, 20100506,   62.1,24,   45.4,24, 9999.9, 0, 9999.9, 0,  10.0,24,   6.3,24,  14.0,  19.0,   77.0*,  50.0*,99.99 ,999.9, 010000,
