STATE, ON
STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
715080,99999, 20040804,   71.3, 4,   65.4, 4, 1009.5, 4,  996.2, 4, 999.9, 0, 999.9, 0, 999.9, 999.9,   85.1 ,  67.3 , 0.15G,999.9, 000000,
715080,99999, 20040805,   66.5, 4,   52.7, 4, 1012.7, 4,  999.3, 4, 999.9, 0, 999.9, 0, 999.9, 999.9,   73.6 ,  59.7 , 0.02G,999.9, 000000,
715080,99999, 20040806,   61.5, 4,   48.2, 4, 1015.4, 4, 1001.9, 4, 999.9, 0, 999.9, 0, 999.9, 999.9,   68.5 ,  53.8 , 0.00G,999.9, 000000,
715080,99999, 20040808,   67.1, 4,   55.8, 4, 1016.0, 4, 1002.5, 4, 999.9, 0, 999.9, 0, 999.9, 999.9,   79.5 ,  57.4 , 0.00G,999.9, 000000,
715080,99999, 20040809,   68.9, 4,   57.4, 4, 1018.1, 4, 1004.6, 4, 999.9, 0, 999.9, 0, 999.9, 999.9,   79.9 ,  57.0 , 0.29G,999.9, 000000,
715080,99999, 20040810,   72.8, 4,   65.5, 4, 1010.5, 4,  997.2, 4, 999.9, 0, 999.9, 0, 999.9, 999.9,   80.2 ,  57.0 , 0.00G,999.9, 000000,
715080,99999, 20040811,   69.8, 4,   58.9, 4, 1008.2, 4,  994.9, 4, 999.9, 0, 999.9, 0, 999.9, 999.9,   78.3 ,  64.4 , 0.02G,999.9, 000000,
715080,99999, 20040812,   64.9, 4,   55.4, 4, 1012.8, 4,  999.3, 4, 999.9, 0, 999.9, 0, 999.9, 999.9,   74.1 ,  58.8 , 0.00G,999.9, 000000,
715080,99999, 20040813,   63.7, 4,   55.4, 4, 1015.1, 4, 1001.7, 4, 999.9, 0, 999.9, 0, 999.9, 999.9,   71.2 ,  58.8 , 0.20G,999.9, 000000,
715080,99999, 20040814,   64.3, 4,   57.0, 4, 1019.5, 4, 1005.9, 4, 999.9, 0, 999.9, 0, 999.9, 999.9,   72.3 ,  58.6 , 0.02G,999.9, 000000,
715080,99999, 20040815,   66.5, 4,   57.8, 4, 1023.9, 4, 1010.3, 4, 999.9, 0, 999.9, 0, 999.9, 999.9,   73.0 ,  59.5 , 0.00G,999.9, 000000,
715080,99999, 20040816,   66.6, 4,   56.7, 4, 1024.2, 4, 1010.7, 4, 999.9, 0, 999.9, 0, 999.9, 999.9,   75.9 ,  59.4 , 0.00G,999.9, 000000,
715080,99999, 20040817,   68.2, 4,   58.1, 4, 1019.8, 4, 1006.3, 4, 999.9, 0, 999.9, 0, 999.9, 999.9,   77.0 ,  57.7 , 0.00G,999.9, 000000,
715080,99999, 20040818,   69.3, 4,   57.6, 4, 1018.6, 4, 1005.1, 4, 999.9, 0, 999.9, 0, 999.9, 999.9,   77.9 ,  57.7 , 0.00G,999.9, 000000,
715080,99999, 20040824,   62.6, 4,   52.4, 4, 9999.9, 0, 1007.1, 4, 999.9, 0, 999.9, 0, 999.9, 999.9,   68.9*,  55.9*, 0.00I,999.9, 000000,
715080,99999, 20040825,   68.8, 4,   62.2, 4, 1019.2, 4, 1005.8, 4, 999.9, 0, 999.9, 0, 999.9, 999.9,   80.4 ,  55.0 , 0.00G,999.9, 000000,
