STATE, QC
STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
719050,99999, 20050501,   39.7,24,   33.3,24, 1006.2,24, 1005.3, 4,  15.0,24,   8.8,24,  12.0, 999.9,   49.8 ,  33.4 , 0.02G,999.9, 010000,
719050,99999, 20050502,   33.3,24,   31.7,24, 1000.7,24,  999.4,24,  11.3,24,   8.4,24,  14.0, 999.9,   49.8 ,  31.1 , 0.02G,999.9, 111000,
719050,99999, 20050503,   28.0,24,   22.3,24, 1007.2,24, 1005.9,24,  13.7,24,  13.0,24,  18.1, 999.9,   35.4 ,  23.0 , 0.00G,999.9, 001000,
719050,99999, 20050504,   27.4,24,   20.0,24, 1015.9,24, 1014.6,24,  14.9,24,   9.8,24,  14.0,  16.9,   35.6*,  21.2*, 0.00G,999.9, 001000,
719050,99999, 20050505,   33.3,24,   25.5,24, 1018.7,24, 1017.4,24,  14.4,24,   6.5,24,  12.0,  15.0,   39.2*,  28.4*, 0.00G,999.9, 101000,
719050,99999, 20050506,   28.0,24,   22.1,24, 1019.5,24, 1018.1,24,  15.0,24,  12.4,24,  18.1, 999.9,   40.3 ,  24.3 , 0.00G,999.9, 011000,
719050,99999, 20050507,   24.2,24,   18.2,24, 1025.5,24, 1024.1,24,  15.0,24,   8.9,24,  15.9, 999.9,   32.4 ,  16.7 , 0.00G,999.9, 001000,
719050,99999, 20050508,   40.0,24,   28.2,24, 1018.5,24, 1017.2,24,  13.7,24,   5.4,24,   9.9, 999.9,   55.0 ,  16.7 , 0.00G,999.9, 110000,
719050,99999, 20050509,   32.6,24,   29.8,24, 1018.3,24, 1017.0,24,   8.9,24,   9.5,24,  15.0,  18.1,   37.4*,  28.4*, 0.09G,999.9, 111000,
719050,99999, 20050510,   36.7,24,   34.8,24, 1006.0,24, 1004.6,24,   8.6,24,   6.0,24,  18.1, 999.9,   46.4*,  28.4*, 0.06G,999.9, 111000,
719050,99999, 20050511,   22.8,24,   18.4,24, 1016.8,24, 1015.5,24,  11.5,24,  16.3,24,  20.0,  26.0,   30.2*,  19.4*, 0.23G,  0.8, 001000,
719050,99999, 20050512,   20.4,24,   15.6,24, 1030.2,24, 1028.7,24,  11.0,24,  11.2,24,  15.0,  16.9,   24.8*,  17.6*, 0.00G,  0.8, 001000,
719050,99999, 20050513,   32.3,24,   19.5,24, 1027.1,24, 1025.7,24,  15.0,24,   8.3,24,  13.0,  18.1,   53.6*,  15.8*, 0.00G,999.9, 000000,
719050,99999, 20050514,   45.0,24,   21.1,24, 1019.9,24, 1018.6,24,  15.0,24,   6.3,24,   9.9, 999.9,   53.6*,  37.4*, 0.00G,999.9, 000000,
719050,99999, 20050515,   40.7,24,   26.3,24, 1011.2,24, 1009.9,24,  15.0,24,   8.0,24,  20.0,  25.1,   54.0 ,  32.7 , 0.00G,999.9, 000000,
719050,99999, 20050516,   35.0,24,   32.6,24, 1011.0,24, 1009.8,24,  14.4,24,   5.2,24,  12.0, 999.9,   47.3 ,  32.7 , 0.01G,999.9, 110000,
719050,99999, 20050517,   33.3,24,   32.8,24, 1016.8,24, 1015.5,24,   0.6,24,   5.0,24,   8.9, 999.9,   35.6*,  32.0*, 0.01G,999.9, 110000,
719050,99999, 20050518,   33.7,24,   32.9,24, 1021.5,24, 1020.2,24,   4.5,24,   4.0,24,   7.0, 999.9,   35.6*,  32.0*, 0.03G,999.9, 110000,
719050,99999, 20050519,   36.9,24,   30.7,24, 1022.8,24, 1021.5,24,  11.7,24,   4.8,24,  12.0,  15.9,   51.8*,  27.3*, 0.01G,999.9, 100000,
719050,99999, 20050520,   46.4,24,   36.1,24, 1022.7,24, 1021.4,24,  15.0,24,   5.9,24,  14.0,  19.0,   64.4*,  32.0*, 0.00G,999.9, 000000,
719050,99999, 20050521,   60.8,24,   38.9,24, 1021.4,24, 1020.1,24,  15.0,24,   8.1,24,  12.0,  15.0,   75.2*,  46.4*, 0.00G,999.9, 000000,
719050,99999, 20050522,   63.3,24,   40.5,24, 1018.5,24, 1017.2,24,  15.0,24,   8.0,24,  15.0,  23.9,   75.7 ,  45.7 , 0.00G,999.9, 000000,
719050,99999, 20050523,   62.7,24,   36.2,24, 1018.4,24, 1017.1,24,  15.0,24,   7.8,24,  13.0,  18.1,   75.4 ,  51.8 , 0.00G,999.9, 000000,
719050,99999, 20050524,   63.4,24,   43.6,24, 1020.9,24, 1019.6,24,  15.0,24,   6.0,24,  11.1, 999.9,   71.6*,  50.0*, 0.00G,999.9, 000000,
719050,99999, 20050525,   56.5,24,   40.9,24, 1019.2,24, 1017.9,24,  15.0,24,   4.1,24,   8.9, 999.9,   72.7 ,  41.9 , 0.00G,999.9, 000000,
719050,99999, 20050526,   64.5,24,   41.9,24, 1013.7,24, 1012.4,24,  15.0,24,   7.0,24,  12.0,  15.9,   84.2 ,  44.2 , 0.00G,999.9, 000000,
719050,99999, 20050527,   67.2,24,   37.6,24, 1010.4,24, 1009.0,24,  15.0,24,   7.9,24,  13.0,  15.0,   84.2 ,  48.4 , 0.00G,999.9, 000000,
719050,99999, 20050528,   56.6,24,   40.0,24, 1008.1,24, 1006.8,24,  15.0,24,   5.0,24,  12.0, 999.9,   82.6 ,  42.8 , 0.00G,999.9, 000000,
719050,99999, 20050529,   43.7,24,   35.1,24, 1011.3,24, 1010.0,24,  15.0,24,  11.5,24,  21.0,  26.0,   48.2*,  39.2*, 0.00G,999.9, 000000,
719050,99999, 20050530,   39.7,24,   32.7,24, 1019.8,24, 1018.5,24,  15.0,24,   9.1,24,  16.9, 999.9,   46.4*,  32.0*, 0.00G,999.9, 100000,
719050,99999, 20050531,   47.2,24,   33.2,24, 1017.3,24, 1016.0,24,  15.0,24,   7.7,24,  16.9, 999.9,   64.4*,  33.8*, 0.00G,999.9, 000000,
719050,99999, 20050601,   44.0,24,   35.3,24, 1015.7,24, 1014.4,24,  13.9,24,   8.9,24,  15.0,  18.1,   68.7 ,  32.7 , 0.00G,999.9, 110000,
719050,99999, 20050602,   39.6,24,   33.1,24, 1014.4,24, 1013.0,24,  15.0,24,   8.6,24,  15.0, 999.9,   44.6*,  35.6*, 0.00G,999.9, 010000,
719050,99999, 20050603,   33.0,24,   28.6,24, 1018.3,24, 1017.0,24,  11.3,24,   6.4,24,  11.1, 999.9,   45.0 ,  28.4 , 0.00G,999.9, 111000,
719050,99999, 20050604,   35.1,24,   30.1,24, 1020.3,24, 1019.0,24,  15.0,24,  11.7,24,  31.1, 999.9,   39.2*,  32.0*, 0.00G,999.9, 110000,
719050,99999, 20050605,   50.3,24,   25.5,24, 1020.6,24, 1019.3,24,  15.0,24,  10.2,24,  18.1,  23.9,   68.0*,  37.4*, 0.00G,999.9, 100000,
719050,99999, 20050606,   54.7,24,   36.3,24, 1005.0,24, 1003.7,24,   6.9,24,   9.5,24,  14.0,  19.0,   68.0 ,  35.8 , 0.05G,999.9, 010000,
719050,99999, 20050607,   37.8,24,   34.3,24, 1003.2,24, 1001.9,24,   6.8,24,  12.3,24,  21.0,  23.9,   59.9 ,  32.2 , 0.10G,999.9, 011000,
719050,99999, 20050608,   32.5,24,   29.8,24, 1017.1,24, 1015.8,24,  13.6,24,  11.7,24,  16.9,  20.0,   39.2 ,  30.0 , 0.00G,999.9, 101000,
719050,99999, 20050609,   40.2,24,   29.7,24, 1017.3,24, 1016.0,24,  10.8,24,   7.2,24,  16.9, 999.9,   55.4*,  28.4*, 0.00G,999.9, 111000,
719050,99999, 20050610,   46.9,24,   33.5,24, 1013.4,24, 1012.1,24,  15.0,24,   8.1,24,  16.9, 999.9,   55.0 ,  27.1 , 0.00G,999.9, 000000,
719050,99999, 20050611,   52.5,24,   38.7,23, 1014.4,24, 1013.1,24,  15.0,24,   5.6,24,  12.0, 999.9,   63.1 ,  39.2 , 0.00G,999.9, 010000,
719050,99999, 20050612,   55.3,24,   43.2,24, 1009.5,24, 1008.1,24,  15.0,24,   7.3,24,  15.9, 999.9,   63.1 ,  39.2 , 0.00G,999.9, 000000,
719050,99999, 20050613,   47.5,24,   40.1,24, 1008.1,24, 1006.8,24,  15.0,24,   5.6,24,   8.9, 999.9,   63.0 ,  40.6 , 0.00G,999.9, 000000,
719050,99999, 20050614,   49.7,24,   42.7,24, 1008.1,24, 1006.8,24,  15.0,24,   8.1,24,  16.9,  22.0,   60.8 ,  40.6 , 0.00G,999.9, 000010,
719050,99999, 20050615,   51.6,23,   44.2,23, 1008.3,23, 1007.0,23,  12.5,23,  10.4,23,  20.0,  27.0,   66.2*,  39.2*, 0.02G,999.9, 110000,
719050,99999, 20050616,   59.7,23,   43.2,23, 1013.4,23, 1012.0,23,  15.0,23,  11.4,23,  22.0,  28.0,   71.6*,  50.0*, 0.00G,999.9, 000000,
719050,99999, 20050617,   62.4,24,   34.6,24, 1017.0,24, 1015.7,24,  15.0,24,   9.8,24,  15.0,  18.1,   71.8 ,  47.1 , 0.00G,999.9, 000000,
719050,99999, 20050618,   60.0,24,   39.3,24, 1015.7,24, 1014.4,24,  15.0,24,   4.3,24,   8.9, 999.9,   71.6 ,  48.7 , 0.00G,999.9, 000000,
719050,99999, 20050619,   64.8,24,   47.7,24, 1009.4,24, 1008.0,24,  14.8,24,  10.6,24,  21.0,  30.9,   71.1 ,  48.7 , 0.01G,999.9, 110000,
719050,99999, 20050620,   55.4,24,   51.9,24, 1001.9,24, 1000.6,24,   8.8,24,   6.9,24,  20.0,  23.9,   64.4*,  46.4*, 0.10G,999.9, 110000,
719050,99999, 20050621,   41.9,24,   38.1,24, 1007.0,24, 1005.7,24,  12.7,24,  16.5,24,  23.9,  28.9,   46.4*,  37.4*, 0.06G,999.9, 111000,
719050,99999, 20050622,   42.0,24,   36.2,24, 1015.5,24, 1014.2,24,   9.6,24,  13.4,24,  20.0,  26.0,   59.0*,  36.0*, 0.03G,999.9, 110000,
719050,99999, 20050623,   45.6,23,   38.1,23, 1006.0,23, 1004.7,23,  12.6,23,  13.0,23,  22.9,  33.0,   60.8*,  35.6*, 0.04G,999.9, 110000,
719050,99999, 20050624,   43.8,24,   40.5,24, 1003.7,24, 1002.4,24,  14.1,24,   8.8,24,  16.9,  20.0,   51.1 ,  34.9 , 0.40G,999.9, 010000,
719050,99999, 20050625,   41.7,24,   39.6,24, 1011.3,24, 1010.0,24,  12.2,24,   9.1,24,  15.0, 999.9,   49.6 ,  39.2 , 0.14G,999.9, 110000,
719050,99999, 20050626,   47.5,24,   40.4,24, 1022.2,24, 1020.9,24,  15.0,24,   7.4,24,  14.0,  16.9,   57.2*,  35.6*, 0.00G,999.9, 000000,
