STATE, AZ
STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
722720,93026, 20100801,   68.6,24,   61.1,24, 9999.9, 0, 9999.9, 0,   9.9,24,   7.2,24,  14.0,  21.0,   84.0*,  62.6*, 0.33G,999.9, 010010,
722720,93026, 20100802,   69.6,24,   58.7,24, 9999.9, 0, 9999.9, 0,   9.9,24,   5.3,24,  11.1, 999.9,   90.0*,  59.0*, 0.00G,999.9, 010000,
722720,93026, 20100803,   74.2,24,   56.9,24, 9999.9, 0, 9999.9, 0,  10.0,24,   6.0,24,  15.9,  22.0,   93.0*,  60.8*, 0.00G,999.9, 000010,
722720,93026, 20100804,   74.8,24,   54.2,24, 9999.9, 0, 9999.9, 0,  10.0,24,   5.9,24,  21.0,  26.0,   96.1*,  59.0*, 0.25G,999.9, 000010,
722720,93026, 20100805,   76.8,24,   52.9,24, 9999.9, 0, 9999.9, 0,  10.0,24,   6.8,24,  25.1,  35.0,   97.0*,  60.8*, 0.00G,999.9, 010010,
722720,93026, 20100806,   74.4,24,   55.8,24, 9999.9, 0, 9999.9, 0,  10.0,24,   6.1,24,  11.1,  22.9,   95.0*,  59.0*, 0.02G,999.9, 010010,
722720,93026, 20100807,   75.4,24,   55.3,24, 9999.9, 0, 9999.9, 0,  10.0,24,   8.9,24,  20.0,  28.0,   93.2*,  62.6*, 0.10G,999.9, 010010,
722720,93026, 20100808,   72.8,24,   56.0,24, 9999.9, 0, 9999.9, 0,  10.0,24,   9.0,24,  16.9,  28.9,   87.1*,  64.4*, 0.22G,999.9, 010010,
722720,93026, 20100809,   71.8,24,   50.7,24, 9999.9, 0, 9999.9, 0,  10.0,24,   8.0,24,  17.1,  22.9,   91.0*,  57.2*, 0.27G,999.9, 010000,
722720,93026, 20100810,   74.7,24,   48.5,22, 9999.9, 0, 9999.9, 0,  10.0,24,   7.6,24,  14.0,  26.0,   93.9*,  62.6*, 0.00G,999.9, 000000,
722720,93026, 20100811,   77.5,24,   48.8,23, 9999.9, 0, 9999.9, 0,  10.0,24,   6.2,24,  14.0,  30.9,   96.1*,  62.6*, 0.00G,999.9, 000000,
722720,93026, 20100812,   78.0,24,   51.6,24, 9999.9, 0, 9999.9, 0,  10.0,24,   5.5,24,  15.9,  26.0,   98.6*,  62.6*, 0.00G,999.9, 000000,
722720,93026, 20100813,   79.9,24,   54.0,24, 9999.9, 0, 9999.9, 0,  10.0,24,   6.1,24,  18.1,  27.0,   97.0*,  64.4*, 0.01G,999.9, 000010,
722720,93026, 20100814,   79.3,24,   52.6,23, 9999.9, 0, 9999.9, 0,  10.0,24,   6.2,24,  22.0,  27.0,   98.6*,  66.2*, 0.00G,999.9, 010010,
722720,93026, 20100815,   77.8,24,   53.1,23, 9999.9, 0, 9999.9, 0,  10.0,24,   7.3,24,  15.0,  24.1,   96.1*,  60.8*, 0.02G,999.9, 010010,
722720,93026, 20100816,   72.3,24,   56.9,24, 9999.9, 0, 9999.9, 0,   8.7,24,  10.2,24,  19.0,  27.0,   91.4*,  60.8*, 0.20G,999.9, 010010,
722720,93026, 20100817,   71.6,24,   59.5,24, 9999.9, 0, 9999.9, 0,  10.0,23,   5.3,24,  20.0,  26.0,   93.9*,  60.8*, 0.17G,999.9, 010010,
722720,93026, 20100818,   74.0,24,   58.2,24, 9999.9, 0, 9999.9, 0,  10.0,24,   6.6,24,  17.1,  28.9,   96.8*,  60.8*, 0.00G,999.9, 010010,
722720,93026, 20100819,   73.9,24,   58.0,24, 9999.9, 0, 9999.9, 0,  10.0,24,   6.3,24,  14.0,  20.0,   96.1*,  62.6*, 0.00G,999.9, 000000,
722720,93026, 20100820,   77.4,24,   54.4,24, 9999.9, 0, 9999.9, 0,  10.0,24,   6.7,24,  12.0,  18.1,   98.1*,  68.0*, 0.00G,999.9, 000010,
722720,93026, 20100821,   77.5,24,   53.5,24, 9999.9, 0, 9999.9, 0,  10.0,24,   5.9,24,  15.9,  25.1,   93.0*,  64.4*, 0.00G,999.9, 000000,
722720,93026, 20100822,   76.0,24,   57.4,22, 9999.9, 0, 9999.9, 0,  10.0,24,   7.5,24,  16.9,  25.1,   95.0*,  62.6*, 0.02G,999.9, 010010,
722720,93026, 20100823,   78.1,24,   58.6,24, 9999.9, 0,  875.8, 5,  10.0,24,   4.3,24,  21.0,  28.0,   96.8*,  64.4*, 0.00G,999.9, 010010,
722720,93026, 20100824,   74.0,24,   58.3,24, 9999.9, 0, 9999.9, 0,  10.0,24,   7.6,24,  21.0,  30.9,   93.0*,  62.6*, 0.00G,999.9, 000000,
722720,93026, 20100825,   69.2,24,   54.2,21, 9999.9, 0, 9999.9, 0,  10.0,24,   8.9,24,  18.1,  27.0,   84.9*,  57.2*, 0.20G,999.9, 010000,
722720,93026, 20100826,   69.1,24,   42.6,20, 9999.9, 0, 9999.9, 0,  10.0,24,   8.4,24,  13.0,  19.0,   89.1*,  57.2*, 0.15G,999.9, 000000,
722720,93026, 20100827,   67.0,24,   46.1,24, 9999.9, 0, 9999.9, 0,   9.8,24,   5.8,24,  15.0,  22.9,   84.9*,  55.4*, 0.00G,999.9, 010010,
722720,93026, 20100828,   66.8,24,   56.8,24, 9999.9, 0, 9999.9, 0,   9.7,24,   7.0,24,  20.0,  26.0,   87.1*,  57.2*, 0.01G,999.9, 010000,
722720,93026, 20100829,   69.1,24,   54.9,24, 9999.9, 0, 9999.9, 0,  10.0,24,   6.7,24,  20.0,  27.0,   84.0*,  55.4*, 0.00G,999.9, 010010,
722720,93026, 20100830,   67.6,24,   57.3,24, 9999.9, 0, 9999.9, 0,   9.8,24,   5.2,24,  15.0,  28.0,   86.0*,  57.2*, 1.24G,999.9, 010010,
722720,93026, 20100831,   71.5,24,   55.1,24, 9999.9, 0, 9999.9, 0,  10.0,24,   6.0,24,  14.0,  22.0,   88.0*,  59.0*, 0.01G,999.9, 000000,
722720,93026, 20100901,   72.3,24,   54.3,24, 9999.9, 0, 9999.9, 0,  10.0,24,   5.6,24,  13.0,  20.0,   93.9*,  57.2*, 0.00G,999.9, 000000,
722720,93026, 20100902,   75.3,24,   42.3,23, 9999.9, 0, 9999.9, 0,  10.0,24,   7.3,24,  12.0,  14.0,   95.0*,  60.8*, 0.00G,999.9, 000000,
