STATE, PA
STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
725204,04813, 20060401,   52.8,15,   46.2,15, 9999.9, 0,  969.4,15,  10.5,15,  11.9,15,  15.0,  24.1,   59.0*,  50.0*, 0.00I,999.9, 000000,
725204,04813, 20060402,   50.3,16,   41.8,16, 9999.9, 0,  973.2,16,   9.3,16,   5.0,16,   9.9, 999.9,   57.2*,  42.8*, 0.00I,999.9, 000000,
725204,04813, 20060403,   55.2,15,   50.0,15, 9999.9, 0,  959.4,15,   8.8,15,  12.7,15,  21.0,  41.0,   62.6*,  41.0*,99.99 ,999.9, 010010,
725204,04813, 20060404,   42.7,15,   24.4,15, 9999.9, 0,  966.6,15,  16.8,15,  14.3,15,  20.0,  35.9,   51.8*,  32.0*,99.99 ,999.9, 010000,
725204,04813, 20060405,   34.8,15,   28.5,15, 9999.9, 0,  968.2,15,   8.8,15,  10.4,15,  15.0,  18.1,   39.2*,  28.4*,99.99 ,999.9, 011000,
725204,04813, 20060406,   50.4,14,   30.9,13, 9999.9, 0,  968.4,11,  12.5,14,   3.5,14,   9.9, 999.9,   57.2*,  37.4*, 0.00I,999.9, 000000,
725204,04813, 20060407,   60.6,15,   51.2,15, 9999.9, 0,  957.8,14,   7.6,15,  12.8,15,  20.0,  29.9,   75.2*,  48.2*,99.99 ,999.9, 010000,
725204,04813, 20060408,   41.1,15,   27.9,15, 9999.9, 0,  969.1,14,  13.7,15,  12.4,15,  15.9,  22.9,   51.8*,  33.8*, 0.00I,999.9, 000000,
725204,04813, 20060409,   42.7,15,   28.2,15, 9999.9, 0,  978.3,15,   9.9,15,   6.3,15,  12.0, 999.9,   53.6*,  30.2*, 0.00I,999.9, 000000,
725204,04813, 20060410,   53.8,15,   25.6,15, 9999.9, 0,  979.6,15,  13.3,15,   2.3,15,   6.0, 999.9,   64.4*,  33.8*, 0.00I,999.9, 000000,
725204,04813, 20060411,   63.7,15,   28.3,15, 9999.9, 0,  979.4,15,  12.5,15,   5.7,15,   9.9, 999.9,   73.4*,  46.4*, 0.00I,999.9, 000000,
725204,04813, 20060412,   68.3,14,   40.6,14, 9999.9, 0,  974.8,14,  10.0,14,  12.6,14,  22.0,  38.1,   73.4*,  60.8*, 0.00I,999.9, 000000,
725204,04813, 20060413,   66.0,15,   46.4,15, 9999.9, 0,  974.0,15,   9.0,15,   6.3,15,  15.9,  33.0,   73.4*,  53.6*,99.99 ,999.9, 010010,
725204,04813, 20060414,   64.2,15,   55.3,15, 9999.9, 0,  963.6,15,  10.6,15,   8.3,15,  15.9,  22.0,   69.8*,  57.2*,99.99 ,999.9, 010000,
725204,04813, 20060415,   66.6,15,   43.9,15, 9999.9, 0,  961.1,15,  11.5,15,  11.0,15,  22.0, 999.9,   73.4*,  59.0*, 0.00I,999.9, 000000,
725204,04813, 20060417,   58.7,13,   31.2,13, 9999.9, 0,  964.7,13,  13.1,13,  10.1,13,  15.0,  22.0,   68.0*,  44.6*, 0.00I,999.9, 000000,
725204,04813, 20060418,   61.5,15,   37.5,15, 9999.9, 0,  971.2,15,  14.0,15,   4.8,15,  12.0, 999.9,   73.4*,  42.8*, 0.00I,999.9, 000000,
725204,04813, 20060419,   65.6,15,   36.2,15, 9999.9, 0,  970.0,15,  15.0,15,   7.4,15,  12.0, 999.9,   75.2*,  50.0*, 0.00I,999.9, 000000,
725204,04813, 20060420,   70.3,14,   34.4,14, 9999.9, 0,  971.2,14,  12.1,14,   5.9,14,   8.0, 999.9,   78.8*,  53.6*, 0.00I,999.9, 000000,
725204,04813, 20060421,   69.2,15,   53.6,15, 9999.9, 0,  970.4,15,   9.1,15,   6.7,15,  19.0, 999.9,   75.2*,  62.6*,99.99 ,999.9, 010010,
725204,04813, 20060422,   60.4,14,   58.2,14, 9999.9, 0,  968.3,14,   6.5,14,   3.9,14,  12.0, 999.9,   64.4*,  57.2*,99.99 ,999.9, 010000,
725204,04813, 20060423,   58.7,14,   45.5,14, 9999.9, 0,  966.1,14,  10.1,14,  10.1,14,  15.0,  21.0,   62.6*,  51.8*, 0.00I,999.9, 000000,
725204,04813, 20060424,   54.9,15,   46.3,15, 9999.9, 0,  968.5,15,   8.9,15,   6.9,15,   9.9, 999.9,   59.0*,  48.2*,99.99 ,999.9, 010000,
725204,04813, 20060425,   50.2,15,   43.5,15, 9999.9, 0,  968.3,15,   7.5,15,   9.6,15,  15.0, 999.9,   59.0*,  41.0*,99.99 ,999.9, 010000,
725204,04813, 20060426,   49.2,15,   27.7,15, 9999.9, 0,  970.4,15,  11.5,15,   4.1,15,   9.9, 999.9,   60.8*,  32.0*, 0.00I,999.9, 000000,
725204,04813, 20060427,   59.7,15,   32.2,15, 9999.9, 0,  969.1,15,  10.3,15,   9.1,15,  14.0,  21.0,   69.8*,  42.8*, 0.00I,999.9, 000000,
725204,04813, 20060428,   56.8,15,   24.7,15, 9999.9, 0,  979.3,14,  14.7,15,   5.9,15,   9.9, 999.9,   66.2*,  41.0*, 0.00I,999.9, 000000,
725204,04813, 20060429,   60.3,14,   27.5,14, 9999.9, 0,  982.7,14,  14.6,14,  10.3,14,  13.0, 999.9,   69.8*,  42.8*, 0.00I,999.9, 000000,
725204,04813, 20060430,   62.8,15,   27.6,15, 9999.9, 0,  980.6,15,  11.7,15,  12.2,14,  15.0, 999.9,   69.8*,  51.8*, 0.00I,999.9, 000000,
725204,04813, 20060501,   64.6,15,   27.3,15, 9999.9, 0,  979.8,15,  15.0,15,   9.5,15,  15.0, 999.9,   71.6*,  53.6*, 0.00I,999.9, 000000,
725204,04813, 20060502,   61.3,14,   43.2,14, 9999.9, 0,  971.4,14,  12.8,14,   5.8,14,  11.1, 999.9,   69.8*,  51.8*,99.99 ,999.9, 010000,
725204,04813, 20060503,   63.3,15,   52.2,15, 9999.9, 0,  970.9,15,   5.5,15,   4.7,15,  12.0, 999.9,   73.4*,  53.6*, 0.00I,999.9, 000000,
725204,04813, 20060504,   66.6,15,   52.5,15, 9999.9, 0,  968.5,15,   8.3,15,   7.1,15,  14.0,  25.1,   73.4*,  53.6*,99.99 ,999.9, 010000,
725204,04813, 20060505,   64.0,15,   45.4,15, 9999.9, 0,  966.9,15,  12.0,15,   3.5,15,   9.9, 999.9,   71.6*,  48.2*, 0.00I,999.9, 000000,
725204,04813, 20060506,   54.6,15,   37.5,15, 9999.9, 0,  970.3,15,  12.9,14,  11.5,15,  15.0,  25.1,   62.6*,  48.2*, 0.00I,999.9, 000000,
725204,04813, 20060507,   54.8,15,   28.0,15, 9999.9, 0,  973.8,15,  14.3,15,   6.5,15,   9.9, 999.9,   64.4*,  35.6*, 0.00I,999.9, 000000,
725204,04813, 20060508,   58.0,15,   39.7,15, 9999.9, 0,  973.7,15,  12.1,14,   9.1,15,  15.0, 999.9,   62.6*,  46.4*, 0.00I,999.9, 000000,
725204,04813, 20060509,   62.0,15,   39.6,15, 9999.9, 0,  971.1,15,  14.7,15,   9.3,15,  14.0, 999.9,   69.8*,  48.2*, 0.00I,999.9, 000000,
725204,04813, 20060510,   69.3,15,   46.2,15, 9999.9, 0,  965.5,15,  14.0,15,   7.7,15,  12.0, 999.9,   77.0*,  53.6*, 0.00I,999.9, 000000,
